Index,phase,distance_node_4,distance_node_7,Time_4_1,Time_4_2,Time_4_3,Time_7_1,Time_7_2,Time_7_3
4068,3,27911,12089,0.01017375,0.01017375,0.01008465,0.010036675,0.010036675,0.01003665
4069,3,27893,12107,0.01017365,0.01017365,0.0100846,0.010036725,0.010036725,0.0100367
4070,3,27875,12125,0.010173525,0.010173525,0.01008455,0.010036775,0.010036775,0.010036775
4071,3,27857,12143,0.010173425,0.010173425,0.0100845,0.010036825,0.010036825,0.010036825
4072,3,27839,12161,0.0101733,0.0101733,0.01008445,0.010036875,0.010036875,0.010036875
4073,3,27821,12179,0.0101732,0.0101732,0.010084375,0.01003695,0.01003695,0.010036925
4074,3,29783,10217,0.0101854,0.0101854,0.01009035,0.010030975,0.010030975,0.010030975
4075,3,27803,12197,0.010173075,0.010173075,0.010084325,0.010037,0.010037,0.010036975
4076,3,27785,12215,0.010172975,0.010172975,0.010084275,0.01003705,0.01003705,0.01003705
4077,3,27767,12233,0.010172875,0.01026935,0.010084225,0.0100371,0.0100371,0.0100371
4078,3,27749,12251,0.01017275,0.01017275,0.010084175,0.01003715,0.01003715,0.01003715
4079,3,27731,12269,0.01017265,0.01017265,0.010084125,0.0100372,0.0100372,0.0100372
4080,3,27713,12287,0.010172525,0.010172525,0.01008405,0.010037275,0.010037275,0.01003725
4081,3,27695,12305,0.010172425,0.010172425,0.010084,0.010037325,0.010037325,0.0100373
4082,3,27677,12323,0.0101723,0.0101723,0.01008395,0.010037375,0.010037375,0.010037375
4083,3,27659,12341,0.0101722,0.0101722,0.0100839,0.010037425,0.010037425,0.010037425
4084,3,27641,12359,0.010172075,0.010172075,0.01008385,0.010037475,0.010037475,0.010037475
4085,3,29765,10235,0.010185275,0.010185275,0.010090275,0.01003105,0.01003105,0.010031025
4086,3,27623,12377,0.010171975,0.010171975,0.010083775,0.01003755,0.01003755,0.010037525
4087,3,27605,12395,0.01017185,0.01017185,0.010083725,0.0100376,0.0100376,0.010037575
4088,3,27587,12413,0.01017175,0.01017175,0.010083675,0.01003765,0.01003765,0.01003765
4089,3,27569,12431,0.010171625,0.010171625,0.010083625,0.0100377,0.0100377,0.0100377
4090,3,27551,12449,0.010171525,0.010171525,0.010083575,0.01003775,0.01003775,0.01003775
4091,3,27533,12467,0.0101714,0.0101714,0.010083525,0.0100378,0.0100378,0.0100378
4092,3,27515,12485,0.0101713,0.0101713,0.01008345,0.010037875,0.010037875,0.01003785
4093,3,27497,12503,0.010171175,0.010171175,0.0100834,0.010037925,0.010037925,0.0100379
4094,3,27479,12521,0.010171075,0.010171075,0.01008335,0.010037975,0.010037975,0.010037975
4095,3,27461,12539,0.01017095,0.01017095,0.0100833,0.010038025,0.010038025,0.010038025
4096,3,29747,10253,0.010185175,0.010185175,0.010090225,0.0100311,0.0100311,0.0100311
4097,3,27443,12557,0.01017085,0.01017085,0.01008325,0.010038075,0.010038075,0.010038075
4098,3,27425,12575,0.010170725,0.010170725,0.010083175,0.01003815,0.01003815,0.010038125
4099,3,27407,12593,0.010170625,0.010170625,0.010083125,0.0100382,0.0100382,0.010038175
4100,3,27389,12611,0.010170525,0.010204525,0.010083075,0.01003825,0.01003825,0.01003825
4101,3,27371,12629,0.0101704,0.0101704,0.010083025,0.0100383,0.0100383,0.0100383
4102,3,27353,12647,0.0101703,0.010204425,0.010082975,0.01003835,0.01003835,0.01003835
4103,3,27335,12665,0.010170175,0.010170175,0.010082925,0.0100384,0.0100384,0.0100384
4104,3,27317,12683,0.010170075,0.010170075,0.01008285,0.010038475,0.010038475,0.01003845
4105,3,27299,12701,0.01016995,0.01016995,0.0100828,0.010038525,0.010038525,0.010038525
4106,3,27281,12719,0.01016985,0.01016985,0.01008275,0.010038575,0.010038575,0.010038575
4107,3,29729,10271,0.01018505,0.01018505,0.010090175,0.01003115,0.01003115,0.01003115
4108,3,27263,12737,0.010169725,0.010169725,0.0100827,0.010038625,0.010038625,0.010038625
4109,3,27245,12755,0.010169625,0.010169625,0.01008265,0.010038675,0.010038675,0.010038675
4110,3,27227,12773,0.0101695,0.0101695,0.010082575,0.01003875,0.01003875,0.010038725
4111,3,27209,12791,0.0101694,0.0101694,0.010082525,0.0100388,0.0100388,0.010038775
